url_length,uses_ip,num_dots,protocol,num_subdomains,domain_age_days,dns_valid,whois_info_exists,has_iframe,has_obfuscated_js,label
64,0,2,1,1,-1,1,0,0,0,0
29,0,2,1,1,-1,1,0,1,0,1
50,0,2,1,1,-1,1,0,1,0,1
47,0,1,1,0,-1,1,0,1,0,0
30,0,2,1,1,-1,1,0,1,0,1
16,0,1,0,0,-1,1,0,0,0,0
32,0,1,1,0,-1,1,0,0,0,0
32,0,1,1,0,-1,1,0,0,0,0
53,0,2,1,1,-1,1,0,-1,-1,1
64,0,2,1,1,-1,1,0,0,0,0
26,0,2,1,1,-1,1,1,0,0,1
128,0,4,1,3,-1,1,0,-1,-1,1
48,0,3,0,1,-1,1,0,0,0,0
28,0,1,0,0,-1,0,0,-1,-1,1
70,0,2,1,1,-1,1,0,-1,-1,0
26,0,2,0,1,-1,1,0,0,0,1
53,0,3,0,1,-1,1,0,-1,-1,1
111,0,1,1,0,-1,1,0,0,0,0
64,0,2,1,1,-1,1,0,0,0,0
22,0,2,0,1,-1,0,0,-1,-1,1
32,0,1,1,0,-1,1,0,0,0,0
48,0,2,0,0,-1,0,1,-1,-1,1
26,0,1,1,0,-1,1,0,0,0,1
32,0,1,1,0,-1,1,0,0,0,0
44,0,3,0,0,-1,0,0,-1,-1,1
20,0,1,1,0,-1,1,0,1,0,0
34,0,2,1,1,-1,1,0,0,0,1
64,0,2,1,1,-1,1,0,0,0,1
28,0,1,0,0,-1,1,0,-1,-1,0
64,0,1,1,0,-1,1,0,0,0,0
64,0,2,1,1,-1,1,0,0,0,0
39,0,1,1,0,-1,1,0,1,0,0
29,0,1,0,0,-1,1,0,-1,-1,0
51,0,1,1,0,-1,1,0,1,0,0
36,0,2,1,1,-1,1,0,0,0,1
40,0,2,1,1,-1,1,0,0,0,1
26,0,3,0,1,-1,1,0,0,0,0
59,0,1,1,0,-1,1,0,1,0,0
34,0,2,1,0,-1,1,0,0,0,1
67,0,2,1,1,-1,1,0,0,0,0
31,0,2,0,1,-1,1,0,-1,-1,1
100,0,2,0,1,-1,1,0,-1,-1,1
33,0,3,1,1,-1,1,0,0,0,0
156,0,3,0,0,-1,1,0,-1,-1,1
32,0,1,1,0,-1,1,0,0,0,0
102,0,6,0,1,-1,1,0,0,0,1
43,0,3,0,1,-1,1,0,0,0,0
56,0,2,1,1,-1,1,0,-1,-1,1
32,0,1,1,0,-1,1,0,0,0,0
65,0,2,0,1,-1,1,1,0,0,1
64,0,2,1,1,-1,1,0,0,0,0
38,0,2,1,1,-1,1,0,1,0,1
67,0,2,1,0,-1,1,0,1,0,0
20,0,1,1,0,-1,1,0,1,0,0
56,0,2,0,1,-1,1,0,1,0,1
76,0,1,0,0,-1,0,0,-1,-1,1
215,0,1,1,0,-1,1,0,0,0,0
39,0,3,0,1,-1,1,0,0,0,0
189,0,7,1,1,-1,1,0,-1,-1,1
34,0,1,0,0,-1,1,0,0,0,0
87,0,2,0,0,-1,0,0,-1,-1,0
37,0,3,1,1,-1,1,0,0,0,1
45,0,2,1,1,-1,1,0,-1,-1,1
45,0,3,0,0,-1,1,0,0,0,1
41,0,2,0,0,-1,0,0,-1,-1,1
30,0,2,1,1,-1,1,0,0,0,1
63,0,3,0,1,-1,1,0,0,1,0
32,0,1,1,0,-1,1,0,0,0,0
26,0,2,0,1,-1,1,0,0,0,0
28,0,2,0,1,-1,1,0,0,0,1
47,0,3,0,1,-1,0,0,-1,-1,1
44,0,3,0,1,-1,1,0,0,1,0
64,0,2,1,1,-1,1,0,0,0,0
20,0,1,1,0,-1,1,0,1,0,0
44,0,3,1,1,-1,1,0,0,0,0
32,0,1,0,0,-1,1,0,0,0,0
54,0,1,1,0,-1,1,0,1,0,0
24,0,2,0,0,-1,0,1,-1,-1,1
40,0,1,0,0,-1,1,0,0,0,1
58,0,2,1,1,-1,1,0,0,0,0
87,0,2,0,1,-1,1,0,0,0,1
64,0,2,1,1,-1,1,0,0,0,0
44,0,2,1,1,-1,1,0,0,0,1
70,0,2,1,1,-1,1,0,0,0,0
83,0,2,1,1,-1,1,0,0,0,0
20,0,1,1,0,-1,1,0,1,0,0
70,0,2,1,1,-1,1,0,0,0,0
31,0,1,0,0,-1,1,0,0,0,0
